experiment,run,ceiling,status,planner_attempts,retries,classification,latency_ms,final_tags,final_summary,validation_errors,model,temperature
ceiling_2,1,2,completed,1,0,valid_first_attempt,2712.8,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,2,2,completed,1,0,valid_first_attempt,2741.55,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,3,2,completed,1,0,valid_first_attempt,2766.28,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,4,2,completed,1,0,valid_first_attempt,2875.94,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,5,2,completed,1,0,valid_first_attempt,2876.33,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,6,2,completed,1,0,valid_first_attempt,2764.76,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,7,2,completed,1,0,valid_first_attempt,2801.08,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,8,2,completed,1,0,valid_first_attempt,2908.2,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,9,2,completed,1,0,valid_first_attempt,2840.29,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,10,2,completed,1,0,valid_first_attempt,2775.48,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,11,2,completed,1,0,valid_first_attempt,2725.84,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,12,2,completed,1,0,valid_first_attempt,2748.5,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,13,2,completed,1,0,valid_first_attempt,2766.54,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,14,2,completed,1,0,valid_first_attempt,2759.47,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,15,2,completed,1,0,valid_first_attempt,2757.68,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,16,2,completed,1,0,valid_first_attempt,2814.56,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,17,2,completed,1,0,valid_first_attempt,2768.66,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,18,2,completed,1,0,valid_first_attempt,2780.47,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,19,2,completed,1,0,valid_first_attempt,2838.97,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_2,20,2,completed,1,0,valid_first_attempt,2840.42,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
